Tiempo [años],Núcleos Restantes (Exponencial),Núcleos Restantes (Binomial),Predicción Teórica,N0
4.154961717760215,91,100.0,90.48374180359596,100
8.30992343552043,79,93.0,81.87307530779819,100
12.464885153280644,73,76.0,74.08182206817179,100
16.61984687104086,65,54.0,67.03200460356393,100
20.774808588801076,59,39.0,60.653065971263345,100
24.92977030656129,51,26.0,54.88116360940264,100
29.084732024321507,47,18.0,49.658530379140956,100
33.23969374208172,44,9.0,44.93289641172216,100
37.394655459841935,42,4.0,40.656965974059915,100
41.54961717760215,40,2.0,36.78794411714424,100
45.70457889536237,36,2.0,33.28710836980796,100
49.85954061312258,31,2.0,30.119421191220212,100
54.0145023308828,29,1.0,27.25317930340126,100
58.169464048643015,27,0.0,24.659696394160648,100
62.32442576640323,27,,22.313016014842983,100
66.47938748416344,24,,20.189651799465544,100
70.63434920192365,24,,18.26835240527347,100
74.78931091968387,24,,16.529888822158657,100
78.94427263744409,19,,14.956861922263506,100
83.0992343552043,16,,13.533528323661272,100
87.25419607296452,16,,12.24564282529819,100
91.40915779072473,16,,11.08031583623339,100
95.56411950848495,14,,10.025884372280375,100
99.71908122624517,13,,9.071795328941251,100
103.87404294400538,12,,8.20849986238988,100
108.0290046617656,12,,7.427357821433388,100
112.18396637952581,11,,6.720551273974978,100
116.33892809728603,10,,6.0810062625217975,100
120.49388981504624,7,,5.502322005640723,100
124.64885153280646,5,,4.978706836786395,100
128.80381325056666,5,,4.504920239355783,100
132.95877496832688,4,,4.0762203978366225,100
137.1137366860871,4,,3.6883167401240016,100
141.2686984038473,3,,3.33732699603261,100
145.42366012160753,3,,3.0197383422318516,100
149.57862183936774,3,,2.732372244729257,100
153.73358355712796,3,,2.4723526470339396,100
157.88854527488817,3,,2.23707718561656,100
162.0435069926484,3,,2.0241911445804392,100
166.1984687104086,3,,1.831563888873419,100
4.154961717760215,914,1000.0,904.8374180359597,1000
8.30992343552043,825,912.0,818.7307530779818,1000
12.464885153280644,733,741.0,740.8182206817179,1000
16.61984687104086,661,556.0,670.3200460356393,1000
20.774808588801076,599,369.0,606.5306597126335,1000
24.92977030656129,538,227.0,548.8116360940264,1000
29.084732024321507,499,120.0,496.5853037914095,1000
33.23969374208172,468,55.0,449.32896411722163,1000
37.394655459841935,426,24.0,406.56965974059915,1000
41.54961717760215,390,10.0,367.8794411714424,1000
45.70457889536237,350,3.0,332.8710836980796,1000
49.85954061312258,318,1.0,301.19421191220215,1000
54.0145023308828,283,0.0,272.5317930340126,1000
58.169464048643015,251,,246.5969639416065,1000
62.32442576640323,227,,223.1301601484298,1000
66.47938748416344,206,,201.89651799465543,1000
70.63434920192365,192,,182.6835240527347,1000
74.78931091968387,169,,165.29888822158657,1000
78.94427263744409,154,,149.56861922263505,1000
83.0992343552043,141,,135.33528323661272,1000
87.25419607296452,128,,122.45642825298191,1000
91.40915779072473,113,,110.80315836233392,1000
95.56411950848495,96,,100.25884372280375,1000
99.71908122624517,80,,90.7179532894125,1000
103.87404294400538,76,,82.0849986238988,1000
108.0290046617656,71,,74.27357821433388,1000
112.18396637952581,62,,67.20551273974978,1000
116.33892809728603,55,,60.810062625217974,1000
120.49388981504624,49,,55.02322005640723,1000
124.64885153280646,44,,49.787068367863945,1000
128.80381325056666,39,,45.04920239355782,1000
132.95877496832688,37,,40.76220397836622,1000
137.1137366860871,35,,36.883167401240016,1000
141.2686984038473,32,,33.3732699603261,1000
145.42366012160753,31,,30.197383422318516,1000
149.57862183936774,30,,27.323722447292567,1000
153.73358355712796,27,,24.723526470339397,1000
157.88854527488817,27,,22.3707718561656,1000
162.0435069926484,24,,20.24191144580439,1000
166.1984687104086,21,,18.31563888873419,1000
4.154961717760215,905062,1000000.0,904837.4180359596,1000000
8.30992343552043,818852,904569.0,818730.7530779819,1000000
12.464885153280644,741352,740770.0,740818.2206817179,1000000
16.61984687104086,670302,549230.0,670320.0460356394,1000000
20.774808588801076,607040,367748.0,606530.6597126335,1000000
24.92977030656129,549502,223083.0,548811.6360940264,1000000
29.084732024321507,497285,122677.0,496585.30379140953,1000000
33.23969374208172,450244,60838.0,449328.9641172216,1000000
37.394655459841935,407618,27191.0,406569.65974059916,1000000
41.54961717760215,368481,11088.0,367879.4411714424,1000000
45.70457889536237,333658,4125.0,332871.08369807963,1000000
49.85954061312258,302074,1368.0,301194.2119122021,1000000
54.0145023308828,273367,407.0,272531.7930340126,1000000
58.169464048643015,247369,102.0,246596.9639416065,1000000
62.32442576640323,223939,28.0,223130.16014842983,1000000
66.47938748416344,202760,7.0,201896.51799465544,1000000
70.63434920192365,183547,2.0,182683.5240527347,1000000
74.78931091968387,166010,1.0,165298.88822158656,1000000
78.94427263744409,150179,0.0,149568.61922263505,1000000
83.0992343552043,135767,,135335.28323661274,1000000
87.25419607296452,122873,,122456.4282529819,1000000
91.40915779072473,111305,,110803.15836233391,1000000
95.56411950848495,100644,,100258.84372280375,1000000
99.71908122624517,91111,,90717.95328941252,1000000
103.87404294400538,82578,,82084.9986238988,1000000
108.0290046617656,74811,,74273.57821433387,1000000
112.18396637952581,67552,,67205.51273974979,1000000
116.33892809728603,61081,,60810.06262521797,1000000
120.49388981504624,55187,,55023.220056407234,1000000
124.64885153280646,49783,,49787.06836786395,1000000
128.80381325056666,45147,,45049.20239355782,1000000
132.95877496832688,40812,,40762.203978366226,1000000
137.1137366860871,36914,,36883.16740124002,1000000
141.2686984038473,33451,,33373.2699603261,1000000
145.42366012160753,30177,,30197.383422318515,1000000
149.57862183936774,27269,,27323.72244729257,1000000
153.73358355712796,24578,,24723.5264703394,1000000
157.88854527488817,22318,,22370.7718561656,1000000
162.0435069926484,20103,,20241.91144580439,1000000
166.1984687104086,18260,,18315.63888873419,1000000
4.154961717760215,90488196,100000000.0,90483741.80359596,100000000
8.30992343552043,81873868,90482460.0,81873075.30779818,100000000
12.464885153280644,74079842,74085406.0,74081822.06817178,100000000
16.61984687104086,67027373,54880065.0,67032004.603563935,100000000
20.774808588801076,60646452,36780621.0,60653065.97126334,100000000
24.92977030656129,54876554,22313739.0,54881163.60940264,100000000
29.084732024321507,49653380,12245286.0,49658530.37914095,100000000
33.23969374208172,44928684,6077826.0,44932896.41172216,100000000
37.394655459841935,40652746,2732245.0,40656965.97405992,100000000
41.54961717760215,36785284,1109947.0,36787944.11714424,100000000
45.70457889536237,33285504,407597.0,33287108.369807962,100000000
49.85954061312258,30120764,135128.0,30119421.191220213,100000000
54.0145023308828,27254283,40794.0,27253179.303401258,100000000
58.169464048643015,24660862,11063.0,24659696.39416065,100000000
62.32442576640323,22314431,2632.0,22313016.014842983,100000000
66.47938748416344,20192059,609.0,20189651.799465545,100000000
70.63434920192365,18271882,123.0,18268352.405273467,100000000
74.78931091968387,16532498,29.0,16529888.822158655,100000000
78.94427263744409,14957421,5.0,14956861.922263507,100000000
83.0992343552043,13534968,1.0,13533528.323661273,100000000
87.25419607296452,12247707,0.0,12245642.82529819,100000000
91.40915779072473,11082718,,11080315.83623339,100000000
95.56411950848495,10029277,,10025884.372280374,100000000
99.71908122624517,9075240,,9071795.328941252,100000000
103.87404294400538,8212069,,8208499.86238988,100000000
108.0290046617656,7430135,,7427357.821433388,100000000
112.18396637952581,6723483,,6720551.273974978,100000000
116.33892809728603,6084514,,6081006.262521797,100000000
120.49388981504624,5505062,,5502322.005640723,100000000
124.64885153280646,4981578,,4978706.836786394,100000000
128.80381325056666,4507315,,4504920.239355782,100000000
132.95877496832688,4078349,,4076220.3978366223,100000000
137.1137366860871,3689402,,3688316.7401240016,100000000
141.2686984038473,3338996,,3337326.99603261,100000000
145.42366012160753,3021942,,3019738.3422318515,100000000
149.57862183936774,2734506,,2732372.2447292567,100000000
153.73358355712796,2473551,,2472352.64703394,100000000
157.88854527488817,2238271,,2237077.1856165603,100000000
162.0435069926484,2025901,,2024191.1445804392,100000000
166.1984687104086,1833063,,1831563.8888734188,100000000
